Date,Action,Ticker
2025-07-28,Added,TRI
2025-07-17,Removed,ANSS
2025-05-19,Added,SHOP
2025-05-19,Removed,MDB
2024-12-23,Added,PLTR
2024-12-23,Removed,ILMN
2024-12-23,Added,MSTR
2024-12-23,Removed,MRNA
2024-12-23,Added,AXON
2024-12-23,Removed,SMCI
2024-11-18,Added,APP
2024-11-18,Removed,DLTR
2024-07-22,Removed,WBA
2024-07-22,Added,SMCI
2024-06-24,Added,ARM
2024-06-24,Removed,SIRI
2024-03-18,Added,LIN
2024-03-18,Removed,SPLK
2023-12-18,Added,MDB
2023-12-18,Removed,ZM
2023-12-18,Added,SPLK
2023-12-18,Removed,LCID
2023-12-18,Added,ROP
2023-12-18,Removed,JD
2023-12-18,Added,DASH
2023-12-18,Removed,ENPH
2023-12-18,Removed,EBAY
2023-12-18,Added,CCEP
2023-12-18,Removed,ALGN
2023-12-18,Added,CDW
2023-12-14,Added,TTWO
2023-12-14,Removed,SGEN
2023-07-17,Added,TTD
2023-07-17,Removed,ATVI
2023-06-20,Removed,RIVN
2023-06-20,Added,ON
2023-06-07,Added,GEHC
2023-06-07,Removed,FI
2022-12-19,Removed,DOCU
2022-12-19,Added,FANG
2022-12-19,Removed,MTCH
2022-12-19,Added,BKR
2022-12-19,Removed,SPLK
2022-12-19,Added,GFS
2022-12-19,Removed,BIDU
2022-12-19,Added,WBD
2022-12-19,Removed,NTES
2022-12-19,Removed,SWKS
2022-12-19,Added,RIVN
2022-12-19,Removed,VRSN
2022-12-19,Added,CSGP
2022-11-21,Added,ENPH
2022-11-21,Removed,OKTA
2022-02-22,Removed,XLNX
2022-02-22,Added,AZN
2022-02-02,Added,CEG
2022-01-24,Added,ODFL
2022-01-24,Removed,PTON
2021-12-20,Removed,CERN
2021-12-20,Removed,INCY
2021-12-20,Added,DDOG
2021-12-20,Added,ZS
2021-12-20,Removed,CHKP
2021-12-20,Added,LCID
2021-12-20,Removed,TCOM
2021-12-20,Added,PANW
2021-12-20,Removed,FOXA
2021-12-20,Added,FTNT
2021-12-20,Removed,CDW
2021-12-20,Added,ABNB
2021-12-20,Removed,FOX
2021-08-26,Added,CRWD
2021-08-26,Removed,MXIM
2021-07-21,Added,HON
2021-07-21,Removed,ALXN
2020-12-21,Removed,LBTYA
2020-12-21,Removed,ULTA
2020-12-21,Added,TEAM
2020-12-21,Removed,TTWO
2020-12-21,Added,PTON
2020-12-21,Removed,LBTYK
2020-12-21,Removed,CTXS
2020-12-21,Added,OKTA
2020-12-21,Removed,EXPE
2020-12-21,Added,MTCH
2020-12-21,Added,MRVL
2020-12-21,Removed,BMRN
2020-12-21,Added,AEP
2020-10-19,Added,KDP
2020-10-19,Removed,WDC
2020-08-24,Added,PDD
2020-08-24,Removed,NTAP
2020-07-20,Removed,CSGP
2020-07-20,Added,MRNA
2020-06-22,Removed,UAL
2020-06-22,Added,DOCU
2020-04-30,Added,ZM
2020-04-30,Removed,WTW
2020-04-20,Added,DXCM
2020-04-20,Removed,AAL
2019-12-23,Removed,WYNN
2019-12-23,Added,SPLK
2019-12-23,Removed,NLOK
2019-12-23,Added,SGEN
2019-12-23,Removed,MYL
2019-12-23,Added,CSGP
2019-12-23,Added,CPRT
2019-12-23,Removed,HSIC
2019-12-23,Added,CDW
2019-12-23,Removed,HAS
2019-12-23,Added,ANSS
2019-12-23,Removed,JBHT
2019-11-21,Added,EXC
2019-11-21,Removed,CELG
2019-03-19,Added,TCFCB
2019-03-19,Removed,FOX
2019-03-19,Removed,FOXA
2019-03-19,Added,TCFCA
2018-12-24,Added,UAL
2018-12-24,Removed,VOD
2018-12-24,Removed,STX
2018-12-24,Added,VRSN
2018-12-24,Removed,SHPG
2018-12-24,Added,WLTW
2018-12-24,Removed,QRTEA
2018-12-24,Removed,ESRX
2018-12-24,Added,NTAP
2018-12-24,Added,AMD
2018-12-24,Added,LULU
2018-12-24,Removed,HOLX
2018-11-19,Added,XEL
2018-11-19,Removed,XRAY
2018-11-05,Removed,CA
2018-11-05,Added,NXPI
2018-07-23,Added,PEP
2018-07-23,Removed,DISH
2017-12-18,Removed,NCLH
2017-12-18,Removed,VIAB
2017-12-18,Added,WDAY
2017-12-18,Removed,TSCO
2017-12-18,Added,TTWO
2017-12-18,Added,SNPS
2017-12-18,Removed,DISCA
2017-12-18,Added,ASML
2017-12-18,Added,CDNS
2017-12-18,Removed,AKAM
2017-10-23,Removed,MAT
2017-10-23,Added,ALGN
2017-06-19,Added,MELI
2017-06-19,Removed,YHOO
2017-04-24,Added,WYNN
2017-04-24,Removed,TRIP
2017-03-20,Added,IDXX
2017-03-20,Removed,SBAC
2017-02-07,Added,JBHT
2017-02-07,Removed,NXPI
2016-12-19,Added,HOLX
2016-12-19,Removed,WFM
2016-12-19,Removed,SRCL
2016-12-19,Added,KLAC
2016-12-19,Removed,NTAP
2016-12-19,Added,HAS
2016-12-19,Removed,BBBY
2016-12-19,Added,CTAS
2016-10-19,Removed,LLTC
2016-10-19,Added,SHPG
2016-07-18,Added,MCHP
2016-07-18,Removed,NDOI
2016-06-20,Removed,LMCK
2016-06-20,Removed,BATRK
2016-06-20,Removed,BATRA
2016-06-20,Removed,LMCA
2016-06-20,Added,XRAY
2016-04-18,Added,BATRA
2016-04-18,Added,BATRK
2016-03-16,Added,NTES
2016-03-16,Removed,SNDK
2016-02-16,Added,CSX
2016-02-16,Removed,KLAC
2016-02-01,Added,AVGO
2015-12-21,Added,ULTA
2015-12-21,Added,TMUS
2015-12-21,Removed,VIP
2015-12-21,Added,NCLH
2015-12-21,Removed,LILA
2015-12-21,Removed,LILAK
2015-12-21,Removed,SPLS
2015-12-21,Removed,WYNN
2015-12-21,Removed,GRMN
2015-12-21,Added,MXIM
2015-12-21,Removed,GMCR
2015-12-21,Added,EXPE
2015-12-21,Removed,EXPD
2015-12-21,Added,ENDP
2015-12-21,Removed,CHRW
2015-12-21,Added,CTRP
2015-11-11,Added,PYPL
2015-11-11,Removed,BRCM
2015-10-07,Removed,ALTR
2015-10-07,Added,INCY
2015-08-03,Added,SWKS
2015-07-31,Removed,SIAL
2015-07-29,Added,JD
2015-07-27,Added,BMRN
2015-07-24,Removed,DTV
2015-07-24,Removed,CTRX
2015-07-02,Added,KHC
2015-07-02,Removed,KRFT
2015-07-02,Added,LILA
2015-07-02,Added,LILAK
2015-03-23,Removed,EQIX
2015-03-23,Added,WBA
2014-12-22,Removed,EXPE
2014-12-22,Added,EA
2014-12-22,Removed,FFIV
2014-12-22,Added,LRCX
2014-12-22,Removed,MXIM
2014-12-22,Added,CMCSK
2014-12-22,Added,FOX
2014-12-22,Added,LBTYK
2014-12-22,Added,AAL
2014-04-03,Added,GOOG
2013-12-23,Removed,NUAN
2013-12-23,Removed,XRAY
2013-12-23,Added,TSCO
2013-12-23,Removed,SHLD
2013-12-23,Added,TRIP
2013-12-23,Added,DISH
2013-12-23,Added,NXPI
2013-12-23,Removed,MCHP
2013-12-23,Added,ILMN
2013-12-23,Removed,FOSL
2013-11-18,Added,MAR
2013-11-18,Removed,GOLD
2013-10-29,Removed,DELL
2013-10-29,Added,VIP
2013-08-22,Added,GMCR
2013-08-22,Removed,LIFE
2013-07-25,Added,CHTR
2013-07-25,Removed,BMC
2013-07-15,Added,TSLA
2013-07-15,Removed,ORCL
2013-06-06,Added,NFLX
2013-06-06,Removed,PRGO
2013-06-05,Added,LMCA
2013-06-05,Removed,VMED
2013-03-18,Removed,STRZA
2013-03-18,Added,KRFT
2013-01-15,Added,STRZA
2013-01-15,Removed,LMCA
2012-12-24,Added,LMCA
2012-12-24,Removed,WCRX
2012-12-24,Added,WDC
2012-12-24,Removed,VRSN
2012-12-24,Added,VRSK
2012-12-24,Removed,RIMM
2012-12-24,Added,SBAC
2012-12-24,Removed,NFLX
2012-12-24,Added,REGN
2012-12-24,Removed,MRVL
2012-12-24,Added,LBTYA
2012-12-24,Removed,LRCX
2012-12-24,Removed,EA
2012-12-24,Added,ADI
2012-12-24,Removed,APOL
2012-12-24,Added,CTRX
2012-12-24,Removed,GMCR
2012-12-24,Added,DISCA
2012-12-24,Removed,FLEX
2012-12-24,Added,EQIX
2012-12-12,Removed,INFY
2012-12-12,Added,FB
2012-07-23,Added,KFT
2012-07-23,Removed,CTRP
2012-05-30,Added,VIAB
2012-05-30,Removed,TEVA
2012-04-23,Added,TXN
2012-04-23,Removed,FSLR
2011-12-19,Removed,QGEN
2011-12-19,Removed,NIHD
2011-12-19,Added,GOLD
2011-12-19,Added,NUAN
2011-12-19,Removed,URBN
2011-12-19,Added,HANS
2011-12-19,Removed,ILMN
2011-12-19,Added,FOSL
2011-12-19,Removed,FLIR
2011-12-19,Added,AVGO
2011-12-06,Added,PRGO
2011-12-06,Removed,JOYG
2011-07-15,Added,SIRI
2011-07-15,Removed,CEPH
2011-05-27,Removed,MICC
2011-05-27,Added,GMCR
2011-04-04,Added,ALXN
2011-04-04,Removed,GENZ
2010-12-20,Removed,HOLX
2010-12-20,Removed,PDCO
2010-12-20,Added,WFMI
2010-12-20,Removed,LOGI
2010-12-20,Added,NFLX
2010-12-20,Removed,JBHT
2010-12-20,Added,MU
2010-12-20,Added,DLTR
2010-12-20,Added,FFIV
2010-12-20,Removed,FWLT
2010-12-20,Removed,DISH
2010-12-20,Added,CTRP
2010-12-20,Removed,CTAS
2010-12-20,Added,AKAM
2009-12-21,Removed,LBTYA
2009-12-21,Removed,STLD
2009-12-21,Added,VMED
2009-12-21,Removed,RYAAY
2009-12-21,Added,SNDK
2009-12-21,Removed,PPDI
2009-12-21,Added,QGEN
2009-12-21,Added,MAT
2009-12-21,Added,MYL
2009-12-21,Removed,IACI
2009-12-21,Added,BMC
2009-12-21,Removed,HANS
2009-12-21,Added,VOD
2009-12-21,Removed,AKAM
2009-10-29,Added,PCLN
2009-10-29,Removed,JNPR
2009-07-17,Added,CERN
2009-07-17,Removed,JAVA
2009-01-20,Removed,FMCN
2009-01-20,Added,NWSA
2008-12-22,Removed,WFMI
2008-12-22,Added,WCRX
2008-12-22,Removed,VMED
2008-12-22,Added,JBHT
2008-12-22,Removed,LVLT
2008-12-22,Removed,SNDK
2008-12-22,Added,URBN
2008-12-22,Removed,SIRI
2008-12-22,Added,ORLY
2008-12-22,Removed,PETM
2008-12-22,Added,PPDI
2008-12-22,Added,LIFE
2008-12-22,Added,ILMN
2008-12-22,Removed,CDNS
2008-12-22,Added,ADP
2008-12-22,Removed,AMLN
2008-12-22,Added,FSLR
2008-12-22,Removed,LEAP
2008-12-22,Removed,DISCA
2008-12-22,Added,ROST
2008-12-22,Removed,LAMR
2008-12-22,Added,MXIM
2008-11-10,Removed,MNST
2008-11-10,Added,STX
2008-07-21,Added,FLIR
2008-07-21,Removed,UAUA
2008-05-19,Removed,TLAB
2008-05-19,Added,CA
2008-04-30,Added,DTV
2008-04-30,Removed,BEAS
2007-12-24,Removed,ROST
2007-12-24,Removed,XMSR
2007-12-24,Added,SRCL
2007-12-24,Removed,SEPR
2007-12-24,Added,STLD
2007-12-24,Added,HANS
2007-12-24,Removed,PTEN
2007-12-24,Removed,ERIC
2007-12-24,Added,HOLX
2007-12-24,Added,FMCN
2007-12-04,Added,BIDU
2007-12-04,Removed,CKFR
2007-10-08,Added,LEAP
2007-10-08,Removed,CDWC
2007-08-27,Added,VMED
2007-08-27,Removed,NLTI
2007-07-12,Removed,BMET
2007-07-12,Added,FWLT
2007-06-01,Added,CEPH
2007-06-01,Removed,MEDI
2007-03-08,Added,UAUA
2007-03-08,Removed,AEOS
2007-02-14,Added,RYAAY
2007-02-14,Removed,APCC
2007-02-01,Added,LOGI
2007-02-01,Removed,CMVT
